player,team,salary_2025_2026,position,age,points_per_game,assists_per_game,blocks_per_game,rebounds_per_game,steals_per_game,draft_year,pick_number,team_drafted_by,college,years_played,win_shares,win_shares_per_year
Pat Connaughton,CHO,9423869,SG,32,5.3,1.7,0.3,2.7,0.2,2015,41,BRK,Notre Dame,10,24.6,2.46
Buddy Hield,GSW,9219512,SG,32,11.1,1.6,0.3,3.2,0.8,2016,6,NOP,Oklahoma,9,27.7,3.0777777777777775
Kyle Anderson,UTA,9219512,PF,31,5.9,2.4,0.5,3.4,0.7,2014,30,SAS,UCLA,11,39.4,3.5818181818181816
Bennedict Mathurin,IND,9187573,SF,22,16.1,1.9,0.3,5.3,0.7,2022,6,IND,Arizona,3,6.2,2.066666666666667
Ace Bailey,UTA,9069840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Naji Marshall,DAL,9000000,SF,27,13.2,3,0.2,4.800000000000001,1,NA,NA,NA,NA,NA,NA,NA
Jalen Smith,CHI,9000000,C,24,8.2,1,0.7,5.6,0.3,2020,10,PHO,Maryland,5,12,2.4
Ausar Thompson,DET,8775000,SF,22,10.1,2.3,0.7,5.199999999999999,1.7,2023,5,DET,NA,2,5.6,2.8
Ron Holland,DET,8657280,SF,19,6.4,1,0.2,2.7,0.6,2024,5,DET,NA,1,1.8,1.8
Shaedon Sharpe,POR,8399983,SG,21,18.5,2.8,0.2,4.5,0.9,2022,7,POR,Kentucky,3,4.7,1.5666666666666667
Kelly Oubre Jr.,PHI,8382150,SF,29,15.1,1.8,0.5,6.1,1.5,2015,15,ATL,Kansas,10,24.8,2.48
Goga Bitadze,ORL,8333333,C,25,7.2,2,1.4,6.6,0.7,2019,18,IND,NA,6,14.9,2.4833333333333334
Simone Fontecchio,MIA,8307692,SF,29,5.9,0.9,0.2,2.9000000000000004,0.4,NA,NA,NA,NA,NA,NA,NA
Georges Niang,UTA,8200000,PF,31,9.9,1.4,0.2,3.4,0.4,2016,50,IND,Iowa State,9,15.9,1.7666666666666666
Zeke Nnaji,DEN,8177778,PF,24,3.2,0.4,0.7,1.6,0.4,2020,22,DEN,Arizona,5,6.7,1.34
Vasilije Micić,MIL,8109150,PG,31,6.6,3.1,0,2.2,0.4,2014,52,PHI,NA,2,-0.6,-0.3
KJ Martin,UTA,8025000,PF,24,6.4,1.1,0.5,2.9000000000000004,0.4,2020,52,SAC,NA,5,12.4,2.48
Jock Landale,HOU,8000000,C,29,4.8,0.9,0.2,3.2,0.3,NA,NA,NA,NA,NA,NA,NA
Anthony Black,ORL,7970280,PG,21,9.4,3.1,0.6,3,1.1,2023,6,ORL,Arkansas,2,4,2
Tidjane Salaün,CHO,7863240,PF,19,5.9,1.2,0.2,4.7,0.5,2024,6,CHO,NA,1,0,0
Max Christie,DAL,7714286,SG,21,9.6,1.9,0.4,3.3,0.8,2022,35,LAL,Michigan State,3,4,1.3333333333333333
Dyson Daniels,ATL,7707709,SG,21,14.1,4.4,0.7,5.9,3,2022,8,NOP,NA,3,9.2,3.0666666666666664
Jeremiah Fears,NOP,7520040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ayo Dosunmu,CHI,7518518,SG,25,12.3,4.5,0.4,3.5,0.9,2021,38,CHI,Illinois,4,12.6,3.15
Bilal Coulibaly,WAS,7275600,SF,20,12.3,3.4,0.7,4.9,1.3,2023,7,IND,NA,2,0.8,0.4
Payton Pritchard,BOS,7232143,PG,27,14.3,3.5,0.2,3.9000000000000004,0.9,2020,26,BOS,Oregon,5,20.9,4.18
Donovan Clingan,POR,7178400,C,20,6.5,1.1,1.6,7.8,0.5,2024,7,POR,UConn,1,4,4
Kenrich Williams,OKC,7163000,PF,30,6.3,1.4,0.1,3.5,0.6,NA,NA,NA,NA,NA,NA,NA
